name	charge	inchikey
Pyruvate	-1	LCTONWCANYUPML-UHFFFAOYSA-M
Pyruvate	-1	LCTONWCANYUPML-UHFFFAOYSA-M
Thiamine diphosphate	-3	AYEKOFBPNLCAJY-UHFFFAOYSA-O
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
2-(alpha-Hydroxyethyl)thiamine diphosphate	-3	RRUVJGASJONMDY-UHFFFAOYSA-O
CO2	0	CURLTUGMZLYLDI-UHFFFAOYSA-N
Lipoamide	0	FCCDDURTIIUXBY-UHFFFAOYSA-N
Acetyldihydrolipoamide	0	ARGXEXVCHMNAQU-UHFFFAOYSA-N
Coenzyme A	-4	RGJOEKWQDUBAIZ-IBOSZNHHSA-N
Acetyl-Coenzyme A	-4	ZSLZBFCDCINBPY-KMYLAXNMSA-N
Dihydrolipoamide	0	VLYUGYAKYZETRF-UHFFFAOYSA-N
NAD+	-2	BAWFJGJZGIEFAR-NNYOXOHSSA-N
NADH	-2	BOPGDPNILDQYTO-NNYOXOHSSA-N
Oxaloacetate	-2	KHPXUQMNIQBQEV-UHFFFAOYSA-N
H2O	0	XLYOFNOQVPJJNP-UHFFFAOYSA-N
Citrate	-3	KRKNYBCHXYNGOX-UHFFFAOYSA-K
cis-Aconitate	-3	GTZCVFVGUGFEME-IWQZZHSRSA-N
Isocitrate	-3	ODBLHEXUDAPZAU-UHFFFAOYSA-N
2-Oxoglutarate	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-N
Succinyldihydrolipoamide	-1	RJCJWONCSKSHES-SECBINFHSA-N
Succinyl-CoA	-5	VNOYUJKHFWYWIR-ITIYDSSPSA-N
Adenosine diphosphate	-3	XTWYTFMLZFPYCI-KQYNXXCUSA-N
Orthophosphate	-2	NBIIXXVUZAFLBC-UHFFFAOYSA-K
Succinate	-2	KDYFGRWQOYBRFD-UHFFFAOYSA-L
Adenosine triphosphate	-4	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
Ubiquinone	0	ACTIUHUUMQJHFO-UPTCCGCDSA-N
Fumarate	-2	VZCYOOQTPOCHFL-OWOJBTEDSA-L
Ubiquinol	0	QNTNKSLOFHEFPK-UPTCCGCDSA-N
Malate	-2	BJEPYKJPYRNKOW-UHFFFAOYSA-L
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
Oxidized cytochrome c	-2	NaN
Reduced cytochrome c	-2	NaN
O2	0	MYMOFIZGZYHOMD-UHFFFAOYSA-N
2-Phosphoglycolate	-3	ASCFNMCAHFUBCO-UHFFFAOYSA-K
Glycolate	-1	AEMRFAOFKBGASW-UHFFFAOYSA-N
Glycolate	-1	AEMRFAOFKBGASW-UHFFFAOYSA-N
O2	0	MYMOFIZGZYHOMD-UHFFFAOYSA-N
Glyoxylate	-1	HHLFWLYXYJOTON-UHFFFAOYSA-M
Hydrogen peroxide	0	MHAJPDPJQMAIIY-UHFFFAOYSA-N
H2O	0	XLYOFNOQVPJJNP-UHFFFAOYSA-N
L-Glutamate	-1	WHUUTDBJXJRKMK-VKHMYHEASA-N
Glycine	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N
2-Oxoglutarate	-2	KPGXRSRHYNQIFN-UHFFFAOYSA-N
Glycine	0	DHMQDGOQFOQNFH-UHFFFAOYSA-N
Lipoylprotein	0	NaN
Aminomethyldihydrolipoylprotein	1	NaN
5,6,7,8-Tetrahydrofolate	-2	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
Dihydrolipolprotein	0	NaN
5,10-Methylenetetrahydrofolate	-2	QYNUQALWYRSVHF-ABLWVSNPSA-N
Ammonia	1	QGZKDVFQNNGYKY-UHFFFAOYSA-N
L-Serine	0	MTCFGRXMJLQNBG-REOHCLBHSA-N
L-Serine	0	MTCFGRXMJLQNBG-REOHCLBHSA-N
Hydroxypyruvate	-1	HHDDCCUIIUWNGJ-UHFFFAOYSA-N
NADH	-2	BOPGDPNILDQYTO-NNYOXOHSSA-N
H+	0	GPRLSGONYQIRFK-UHFFFAOYSA-N
